DistrictID,ProvinceID,DistrictName
9404,74,ปะนาเระ
9405,74,มายอ
9406,74,ทุ่งยางแดง
9407,74,สายบุรี
9408,74,ไม้แก่น
9409,74,ยะหริ่ง
9410,74,ยะรัง
9411,74,กะพ้อ
9412,74,แม่ลาน
9501,75,เมืองยะลา
9502,75,เบตง
9503,75,บันนังสตา
9504,75,ธารโต
9505,75,ยะหา
9506,75,รามัน
9507,75,กาบัง
9508,75,กรงปินัง
9601,76,เมืองนราธิวาส
9602,76,ตากใบ
9603,76,บาเจาะ
9604,76,ยี่งอ
9605,76,ระแงะ
9606,76,รือเสาะ
9607,76,ศรีสาคร
9608,76,แว้ง
9609,76,สุคิริน
9610,76,สุไหงโก-ลก
9611,76,สุไหงปาดี
9612,76,จะแนะ
9613,76,เจาะไอร้อง
